game;Accurate passes_away;Accurate passes_home;Aerials won_away;Aerials won_home;Ball possession_away;Ball possession_home;Blocked shots_away;Blocked shots_home;Corner kicks_away;Corner kicks_home;Counter attacks_away;Counter attacks_home;Duels won_away;Duels won_home;Fouls_away;Fouls_home;Goalkeeper saves_away;Goalkeeper saves_home;Hit woodwork_away;Hit woodwork_home;Offsides_away;Offsides_home;Passes_away;Passes_home;Red cards_away;Red cards_home;Shots inside box_away;Shots inside box_home;Shots off target_away;Shots off target_home;Shots on target_away;Shots on target_home;Shots outside box_away;Shots outside box_home;Total shots_away;Total shots_home;Yellow cards_away;Yellow cards_home;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
NEW X WBA 2015-05-09;213 (73%);357 (81%);26;13;40%;60%;2;3;2;7;1;0;71;73;0;0;3;2;2;0;2;0;292;440;;;8;8;3;7;3;5;0;7;8;15;3;2;1;2015-05-09;-4.0;5.0;40.0;27.0;18.0;12.0;8.0;3.0;3.0;8.0;11.0;-11.0;7.0;10.0;39.0;31.0;21.0;15.0;19.0;19.0;11.0;21.0;-10.0;18.0;40.0;-30.0;-38.0;31.0;13.0;11.0;19.0;-15.0;46.0;32.0;35.0;30.0;97.0;59.0;37.0;25.0;20.0;-2.0;4.0;-22.0;-7.0;6.0;9.0;6.0;12.0;17.0;14.0;6.0;12.0;4.0;9.0;7.0;-4.0;7.0;6.0;6.0;5.0;25.0;37.0;24.0;17.0;32.0;20.0;5.0;7.0;2.0;3.0;-43.0;-27.0;-18.0;-48.0;-26.0;27.0;4.0;-16.0;13.0;17.0;22.0;13.0;10.0;-38.0;-7.0;53.0;29.0;14.0;-9.0;13.0;60.0;1;12:00:00;0;WBA;NEW
STO X TOT 2015-05-09;343 (80%);262 (78%);13;10;55%;45%;3;4;8;6;;;44;40;0;0;6;4;;;1;5;431;337;1;0;4;11;3;4;3;8;5;6;9;16;2;0;0;2015-05-09;-5.0;9.0;3.0;-3.0;-2.0;-23.0;-21.0;-10.0;17.0;42.0;23.0;-1.0;-19.0;-11.0;75.0;35.0;15.0;-46.0;-16.0;-10.0;-12.0;-7.0;2.0;40.0;21.0;11.0;81.0;7.0;5.0;7.0;8.0;-1.0;1.0;41.0;1.0;2.0;42.0;21.0;14.0;2.0;-50.0;7.0;5.0;-64.0;-29.0;100.0;-16.0;-3.0;42.0;34.0;46.0;33.0;20.0;15.0;10.0;5.0;77.0;64.0;39.0;-49.0;-14.0;-12.0;-90.0;-57.0;-33.0;-13.0;-5.0;52.0;4.0;9.0;7.0;5.0;-19.0;37.0;17.0;7.0;5.0;11.0;32.0;65.0;35.0;-29.0;-2.0;-5.0;-25.0;-8.0;77.0;15.0;11.0;17.0;31.0;0.0;3;12:00:00;1;TOT;STO
CRY X MUN 2015-05-09;396 (83%);181 (68%);20;21;63%;37%;5;3;6;7;1;0;63;51;0;0;3;2;1;0;1;4;477;267;;;11;11;4;6;4;4;2;2;13;13;1;0;2;2015-05-09;-3.0;-59.0;-37.0;-25.0;-12.0;-33.0;-64.0;-46.0;-30.0;-26.0;-16.0;-4.0;-84.0;-52.0;-63.0;-40.0;-71.0;-79.0;47.0;9.0;2.0;2.0;-5.0;6.0;-3.0;-5.0;-5.0;-1.0;2.0;-3.0;-4.0;-5.0;-6.0;-6.0;-6.0;-6.0;-4.0;-2.0;-6.0;20.0;-25.0;-21.0;5.0;5.0;21.0;-26.0;16.0;10.0;10.0;5.0;1.0;4.0;12.0;81.0;48.0;8.0;-23.0;4.0;3.0;7.0;-4.0;7.0;6.0;5.0;4.0;4.0;3.0;-16.0;-4.0;2.0;22.0;9.0;-19.0;-5.0;27.0;8.0;-74.0;-37.0;-12.0;-20.0;-12.0;27.0;23.0;15.0;10.0;27.0;16.0;8.0;8.0;-30.0;-1.0;-20.0;1;14:30:00;-1;MUN;CRY
MCI X QPR 2015-05-10;240 (72%);392 (80%);18;20;41%;59%;1;3;4;7;0;3;55;52;0;0;5;3;1;1;5;1;333;492;;;4;18;5;9;3;11;5;5;9;23;1;0;0;2015-05-10;-2.0;-5.0;-5.0;-5.0;-4.0;24.0;16.0;13.0;41.0;23.0;-17.0;3.0;4.0;-7.0;-2.0;4.0;10.0;29.0;21.0;6.0;6.0;6.0;-2.0;-2.0;8.0;9.0;83.0;52.0;35.0;23.0;77.0;43.0;-37.0;18.0;-8.0;5.0;5.0;-1.0;36.0;26.0;-10.0;10.0;5.0;7.0;-16.0;83.0;80.0;47.0;32.0;18.0;16.0;13.0;40.0;26.0;-38.0;-10.0;52.0;-4.0;43.0;54.0;38.0;25.0;92.0;59.0;40.0;21.0;55.0;29.0;100.0;76.0;42.0;28.0;16.0;-28.0;43.0;19.0;14.0;41.0;10.0;29.0;17.0;13.0;11.0;7.0;-17.0;-24.0;-11.0;-3.0;4.0;2.0;4.0;95.0;6;10:30:00;1;QPR;MCI
CHE X LIV 2015-05-10;402 (86%);342 (79%);10;9;53%;47%;3;4;4;6;1;0;57;55;0;0;2;3;;;3;1;468;433;;;9;7;8;1;4;3;6;1;15;8;3;4;1;2015-05-10;1.0;-21.0;-18.0;-10.0;-5.0;-41.0;-27.0;-46.0;-27.0;-15.0;-1.0;-5.0;6.0;10.0;7.0;5.0;4.0;8.0;16.0;10.0;47.0;29.0;-2.0;13.0;8.0;46.0;25.0;16.0;11.0;8.0;3.0;13.0;4.0;-5.0;-4.0;-4.0;-1.0;22.0;3.0;-74.0;0.0;-42.0;-28.0;-45.0;-55.0;21.0;-31.0;-19.0;-12.0;-1.0;-7.0;-3.0;4.0;20.0;5.0;-7.0;85.0;-42.0;-76.0;-47.0;-29.0;-22.0;-56.0;-30.0;-19.0;-12.0;-2.0;51.0;-2.0;-2.0;1.0;1.0;40.0;29.0;18.0;11.0;26.0;13.0;31.0;7.0;-20.0;-18.0;-22.0;-7.0;-4.0;1.0;-5.0;-6.0;-43.0;-20.0;-55.0;5.0;1;13:00:00;0;LIV;CHE
ARS X SWA 2015-05-11;286 (80%);691 (91%);6;11;33%;67%;3;8;1;6;;;51;47;0;0;9;2;;;1;1;359;762;;;2;14;2;6;3;9;6;9;8;23;1;0;1;2015-05-11;2.0;-11.0;-3.0;4.0;9.0;9.0;13.0;11.0;10.0;9.0;-57.0;1.0;-27.0;-12.0;9.0;4.0;5.0;6.0;12.0;10.0;4.0;6.0;7.0;7.0;12.0;5.0;7.0;22.0;18.0;19.0;16.0;24.0;22.0;35.0;17.0;14.0;43.0;29.0;21.0;-1.0;-30.0;5.0;12.0;12.0;12.0;27.0;-20.0;-2.0;21.0;-10.0;6.0;4.0;-5.0;-2.0;1.0;41.0;17.0;23.0;44.0;26.0;16.0;46.0;27.0;14.0;8.0;10.0;53.0;13.0;36.0;47.0;93.0;65.0;40.0;88.0;61.0;76.0;89.0;100.0;-67.0;90.0;93.0;57.0;55.0;31.0;18.0;-70.0;-27.0;46.0;25.0;-33.0;6.0;40.0;0;17:00:00;-1;SWA;ARS
SOU X ASV 2015-05-16;466 (85%);222 (75%);15;14;65%;35%;1;3;3;6;;;50;37;0;0;5;3;;;1;3;547;295;;;6;16;4;4;4;11;3;2;9;18;1;1;1;2015-05-16;1.0;16.0;13.0;2.0;79.0;47.0;100.0;100.0;87.0;89.0;56.0;-10.0;-37.0;-13.0;14.0;4.0;-2.0;5.0;81.0;45.0;30.0;16.0;6.0;12.0;4.0;11.0;9.0;4.0;-2.0;4.0;-27.0;79.0;40.0;6.0;22.0;16.0;-37.0;-17.0;-2.0;4.0;-15.0;10.0;-6.0;4.0;21.0;3.0;61.0;35.0;20.0;11.0;4.0;-1.0;-6.0;-9.0;-36.0;45.0;2.0;62.0;66.0;39.0;4.0;-6.0;-8.0;-12.0;-33.0;-19.0;-21.0;-15.0;-13.0;-8.0;-10.0;-13.0;58.0;27.0;44.0;29.0;10.0;-3.0;-7.0;-3.0;78.0;41.0;23.0;6.0;1.0;-6.0;-11.0;18.0;4.0;41.0;-73.0;-45.0;6;09:45:00;1;ASV;SOU
BUR X STO 2015-05-16;331 (74%);250 (68%);28;16;55%;45%;3;6;6;7;1;0;68;48;0;0;4;3;;;3;1;445;368;;;5;8;5;1;3;4;6;3;11;11;2;1;0;2015-05-16;1.0;-6.0;-13.0;-1.0;1.0;1.0;5.0;4.0;2.0;21.0;73.0;40.0;43.0;25.0;15.0;12.0;43.0;35.0;21.0;7.0;-10.0;-6.0;24.0;-9.0;-45.0;-31.0;-23.0;-13.0;-7.0;-6.0;-3.0;6.0;-3.0;15.0;-2.0;-33.0;-51.0;-43.0;-27.0;-23.0;5.0;-20.0;-24.0;-16.0;-11.0;29.0;8.0;-3.0;-3.0;-2.0;38.0;13.0;10.0;-68.0;-33.0;-25.0;17.0;-17.0;18.0;11.0;9.0;22.0;16.0;5.0;-3.0;-3.0;-25.0;-20.0;-17.0;-13.0;-10.0;-8.0;-5.0;-5.0;3.0;-32.0;-22.0;-15.0;-6.0;-16.0;-12.0;-7.0;-7.0;-6.0;-10.0;-8.0;-6.0;-4.0;-8.0;-8.0;-35.0;0.0;0;12:00:00;0;STO;BUR
QPR X NEW 2015-05-16;219 (65%);194 (62%);26;23;53%;47%;9;1;12;3;;;91;71;0;0;2;6;;;1;1;338;315;;;14;4;5;3;8;4;8;4;22;8;0;2;1;2015-05-16;-5.0;-3.0;-6.0;-1.0;1.0;39.0;21.0;6.0;7.0;7.0;-2.0;-2.0;-42.0;-25.0;-37.0;-33.0;-21.0;-81.0;-54.0;-67.0;-40.0;-25.0;1.0;-16.0;-9.0;-2.0;-1.0;1.0;1.0;5.0;3.0;2.0;1.0;-4.0;-20.0;-6.0;6.0;6.0;-25.0;1.0;-130.0;1.0;20.0;7.0;-13.0;-2.0;-17.0;-13.0;-12.0;23.0;7.0;77.0;43.0;-33.0;-8.0;-12.0;1.0;38.0;11.0;81.0;-93.0;-28.0;-19.0;-10.0;-11.0;5.0;4.0;-24.0;-40.0;31.0;-40.0;-20.0;-11.0;6.0;1.0;2.0;7.0;4.0;-14.0;22.0;24.0;-70.0;-52.0;-40.0;-30.0;21.0;6.0;-21.0;-28.0;-7.0;-17.0;-100.0;2;12:00:00;1;NEW;QPR
SUN X LEI 2015-05-16;172 (59%);190 (63%);21;34;50%;50%;7;5;9;8;1;2;64;77;0;0;3;0;;;0;2;290;304;;;6;5;4;5;0;3;5;8;11;13;1;4;0;2015-05-16;1.0;30.0;78.0;44.0;27.0;12.0;-15.0;-8.0;-9.0;-4.0;-1.0;-5.0;31.0;19.0;17.0;11.0;7.0;83.0;45.0;-35.0;-4.0;-7.0;-1.0;-5.0;-2.0;31.0;18.0;-35.0;-13.0;-12.0;-29.0;-12.0;-4.0;1.0;-2.0;1.0;-25.0;-19.0;-21.0;-5.0;-25.0;-2.0;2.0;-69.0;-39.0;6.0;-32.0;-12.0;-6.0;2.0;2.0;3.0;22.0;14.0;9.0;6.0;8.0;10.0;-4.0;31.0;19.0;22.0;9.0;-9.0;-2.0;7.0;7.0;46.0;6.0;5.0;43.0;86.0;56.0;34.0;41.0;22.0;-20.0;-15.0;27.0;-38.0;-23.0;-13.0;6.0;6.0;41.0;45.0;27.0;16.0;-45.0;17.0;1.0;-30.0;0;12:00:00;0;LEI;SUN
TOT X HUL 2015-05-16;314 (78%);429 (82%);18;16;45%;55%;3;4;8;6;;;50;47;0;0;1;1;1;0;5;0;401;524;;;12;6;9;3;2;3;2;4;14;10;1;3;0;2015-05-16;1.0;29.0;12.0;7.0;53.0;33.0;19.0;11.0;-31.0;-17.0;-56.0;-6.0;-22.0;36.0;26.0;16.0;14.0;8.0;3.0;2.0;7.0;-30.0;5.0;-8.0;-4.0;-1.0;1.0;7.0;5.0;4.0;3.0;27.0;17.0;-6.0;11.0;7.0;-10.0;-3.0;-6.0;-5.0;0.0;-1.0;3.0;-48.0;-25.0;-2.0;-37.0;-40.0;-31.0;-18.0;-8.0;73.0;64.0;51.0;62.0;34.0;-1.0;12.0;-18.0;78.0;61.0;42.0;31.0;-20.0;6.0;6.0;3.0;-1.0;7.0;-20.0;-32.0;-13.0;-42.0;-19.0;-54.0;-24.0;16.0;13.0;-1.0;13.0;12.0;7.0;9.0;10.0;11.0;32.0;65.0;39.0;8.0;50.0;10.0;5.0;2;12:00:00;1;HUL;TOT
WES X EVE 2015-05-16;356 (80%);288 (79%);17;14;55%;45%;6;5;8;7;2;1;55;46;0;0;2;3;;;2;2;446;364;;;12;6;10;5;5;3;9;7;21;13;4;1;2;2015-05-16;1.0;-15.0;-9.0;79.0;64.0;67.0;34.0;19.0;-7.0;44.0;21.0;-2.0;12.0;6.0;3.0;-2.0;-2.0;-2.0;-6.0;-4.0;30.0;15.0;4.0;-31.0;-17.0;-11.0;10.0;-6.0;5.0;2.0;-6.0;-3.0;-7.0;-2.0;-5.0;-3.0;35.0;33.0;25.0;10.0;0.0;-5.0;30.0;18.0;-30.0;-92.0;-16.0;-9.0;-37.0;-22.0;-31.0;-17.0;-10.0;-3.0;-2.0;10.0;-59.0;6.0;3.0;22.0;88.0;51.0;30.0;13.0;6.0;-76.0;-75.0;-46.0;-44.0;-26.0;-15.0;-3.0;-10.0;-5.0;-4.0;-3.0;-37.0;-52.0;-49.0;-32.0;30.0;10.0;8.0;11.0;35.0;18.0;-46.0;-1.0;-42.0;-35.0;-47.0;-115.0;1;12:00:00;-1;EVE;WES
LIV X CRY 2015-05-16;211 (73%);502 (86%);15;15;34%;66%;3;5;5;4;0;2;60;66;0;0;2;3;1;0;3;1;291;586;;;11;7;6;10;6;3;4;11;15;18;3;2;3;2015-05-16;1.0;16.0;17.0;11.0;14.0;12.0;45.0;30.0;21.0;16.0;13.0;30.0;28.0;20.0;11.0;10.0;-17.0;-8.0;-1.0;79.0;20.0;17.0;26.0;14.0;3.0;6.0;-45.0;-29.0;-72.0;-42.0;-35.0;-22.0;-17.0;23.0;-11.0;-11.0;8.0;-3.0;-68.0;-37.0;0.0;8.0;16.0;-23.0;38.0;41.0;15.0;6.0;-28.0;33.0;11.0;4.0;10.0;41.0;54.0;30.0;32.0;-73.0;-30.0;-42.0;-20.0;43.0;26.0;-38.0;-3.0;3.0;33.0;34.0;20.0;17.0;-18.0;-1.0;23.0;18.0;13.0;17.0;47.0;34.0;33.0;27.0;48.0;31.0;8.0;12.0;14.0;14.0;6.0;12.0;4.0;26.0;5.0;-50.0;1;14:30:00;-1;CRY;LIV
SWA X MCI 2015-05-17;451 (85%);395 (85%);11;7;53%;47%;6;2;7;11;3;0;59;49;0;0;7;7;;;2;0;530;463;;;15;7;5;2;11;9;7;6;22;13;3;0;4;2015-05-17;-6.0;31.0;19.0;12.0;57.0;35.0;19.0;7.0;34.0;32.0;-20.0;-3.0;-19.0;-10.0;-83.0;-55.0;-36.0;-20.0;-12.0;-1.0;-50.0;-29.0;40.0;-17.0;-10.0;-21.0;-8.0;-5.0;-3.0;21.0;-75.0;-42.0;-30.0;22.0;-17.0;-7.0;1.0;-5.0;-6.0;1.0;45.0;-5.0;-62.0;-67.0;-39.0;13.0;-19.0;-16.0;-10.0;-4.0;-8.0;-10.0;10.0;36.0;76.0;40.0;7.0;18.0;-56.0;-34.0;-70.0;-81.0;70.0;11.0;-76.0;-42.0;-20.0;4.0;-15.0;-66.0;-31.0;-16.0;-7.0;-77.0;-34.0;-13.0;-6.0;-1.0;1.0;26.0;22.0;94.0;58.0;36.0;57.0;35.0;17.0;17.0;9.0;1.0;7.0;-70.0;2;10:30:00;-1;MCI;SWA
MUN X ARS 2015-05-17;324 (78%);459 (82%);12;18;43%;57%;0;5;5;5;0;1;60;71;0;0;3;3;;;2;8;414;560;;;6;7;2;3;3;4;0;5;5;12;0;1;1;2015-05-17;1.0;49.0;29.0;14.0;11.0;14.0;48.0;31.0;21.0;10.0;8.0;1.0;4.0;5.0;-3.0;3.0;4.0;10.0;1.0;1.0;1.0;6.0;2.0;3.0;78.0;46.0;28.0;17.0;40.0;24.0;14.0;19.0;52.0;3.0;24.0;4.0;3.0;1.0;-1.0;5.0;20.0;7.0;-6.0;-1.0;5.0;4.0;1.0;-21.0;-42.0;-25.0;35.0;13.0;-19.0;7.0;9.0;4.0;35.0;4.0;5.0;-9.0;-61.0;-35.0;-79.0;-45.0;-29.0;-6.0;-2.0;23.0;-4.0;-18.0;-8.0;-3.0;2.0;-3.0;2.0;22.0;15.0;10.0;15.0;12.0;28.0;11.0;-34.0;-4.0;-11.0;-7.0;-7.0;32.0;-39.0;11.0;-6.0;-15.0;1;13:00:00;0;ARS;MUN
WBA X CHE 2015-05-18;559 (90%);369 (87%);5;3;60%;40%;5;1;4;3;1;0;44;39;0;0;2;3;1;0;1;1;623;422;1;0;5;5;4;3;3;5;7;4;12;9;2;3;0;2015-05-18;-1.0;45.0;27.0;15.0;8.0;-31.0;-20.0;-13.0;-8.0;-6.0;-2.0;-1.0;-2.0;-2.0;4.0;-2.0;44.0;5.0;7.0;2.0;5.0;14.0;5.0;8.0;8.0;-7.0;-1.0;-63.0;-38.0;-34.0;-25.0;-21.0;-49.0;6.0;-35.0;-39.0;-21.0;31.0;20.0;1.0;0.0;1.0;76.0;41.0;25.0;27.0;16.0;3.0;5.0;-11.0;-11.0;-12.0;-13.0;-53.0;-37.0;-32.0;-21.0;55.0;90.0;46.0;17.0;-11.0;-9.0;-16.0;-14.0;-13.0;-13.0;-3.0;-13.0;-13.0;-13.0;-73.0;-48.0;-34.0;27.0;-8.0;-3.0;-33.0;-3.0;-21.0;-18.0;-3.0;-4.0;-8.0;-7.0;-7.0;-7.0;-7.0;-11.0;75.0;-8.0;-30.0;3;17:00:00;1;CHE;WBA
ARS X WBA 2015-05-24;285 (79%);576 (90%);14;9;37%;63%;3;7;3;7;;;49;36;0;0;9;4;1;2;3;1;359;637;;;8;18;6;4;5;13;6;6;14;24;0;1;1;2015-05-24;6.0;5.0;41.0;-31.0;-2.0;3.0;78.0;41.0;100.0;76.0;43.0;9.0;22.0;6.0;-5.0;40.0;26.0;20.0;58.0;46.0;30.0;29.0;6.0;63.0;40.0;44.0;31.0;24.0;62.0;42.0;100.0;68.0;46.0;9.0;21.0;9.0;18.0;12.0;4.0;-38.0;30.0;3.0;3.0;-13.0;-4.0;86.0;3.0;8.0;8.0;100.0;63.0;42.0;29.0;-56.0;-100.0;-55.0;56.0;-29.0;-8.0;5.0;-31.0;-19.0;-17.0;-11.0;-37.0;-20.0;-3.0;74.0;3.0;43.0;31.0;31.0;26.0;18.0;-67.0;-32.0;-17.0;-2.0;49.0;3.0;33.0;22.0;76.0;77.0;54.0;33.0;22.0;-37.0;23.0;28.0;4.0;-110.0;4;12:00:00;1;WBA;ARS
ASV X BUR 2015-05-24;213 (67%);454 (86%);24;22;37%;63%;2;2;2;7;;;51;51;0;0;5;2;;;1;1;319;530;;;4;11;1;10;3;5;2;6;6;17;2;1;1;2015-05-24;-6.0;-19.0;-8.0;7.0;7.0;7.0;6.0;11.0;38.0;20.0;19.0;-44.0;14.0;15.0;9.0;3.0;4.0;5.0;-28.0;-12.0;-4.0;13.0;-22.0;8.0;4.0;4.0;4.0;-3.0;3.0;8.0;27.0;100.0;73.0;-8.0;46.0;29.0;10.0;31.0;17.0;41.0;15.0;24.0;9.0;5.0;3.0;-11.0;31.0;57.0;34.0;10.0;6.0;35.0;26.0;19.0;15.0;12.0;-6.0;8.0;7.0;12.0;10.0;49.0;-37.0;-11.0;-3.0;4.0;24.0;-76.0;18.0;14.0;12.0;90.0;80.0;50.0;13.0;11.0;3.0;3.0;-51.0;9.0;15.0;11.0;9.0;38.0;25.0;17.0;13.0;10.0;6.0;-36.0;21.0;30.0;0;12:00:00;-1;BUR;ASV
CHE X SUN 2015-05-24;290 (85%);572 (93%);8;8;36%;64%;1;9;3;11;1;0;45;46;0;0;5;7;;;1;1;342;617;;;7;13;7;7;9;8;10;11;17;24;1;2;1;2015-05-24;3.0;6.0;6.0;7.0;2.0;-37.0;-38.0;64.0;27.0;19.0;12.0;9.0;-27.0;-7.0;-1.0;4.0;-37.0;-15.0;-26.0;-87.0;-19.0;-5.0;98.0;-1.0;3.0;19.0;17.0;12.0;10.0;8.0;81.0;50.0;32.0;81.0;21.0;15.0;1.0;-3.0;3.0;-3.0;-5.0;-18.0;-6.0;-29.0;-8.0;51.0;25.0;16.0;63.0;39.0;-36.0;10.0;75.0;48.0;33.0;21.0;33.0;16.0;68.0;44.0;40.0;28.0;40.0;18.0;14.0;12.0;-31.0;17.0;79.0;10.0;9.0;8.0;30.0;10.0;11.0;30.0;51.0;32.0;6.0;22.0;96.0;49.0;30.0;-22.0;-39.0;-26.0;-51.0;79.0;33.0;5.0;-42.0;0.0;3;12:00:00;1;SUN;CHE
CRY X SWA 2015-05-24;303 (78%);263 (77%);17;18;53%;47%;2;4;3;7;;;71;61;0;0;6;2;;;0;2;389;342;;;2;7;1;2;2;7;3;6;5;13;0;3;0;2015-05-24;1.0;32.0;19.0;12.0;18.0;7.0;3.0;3.0;2.0;2.0;-19.0;-10.0;-9.0;42.0;67.0;46.0;29.0;43.0;44.0;14.0;9.0;1.0;-4.0;-11.0;-18.0;-3.0;8.0;5.0;-3.0;8.0;26.0;12.0;9.0;-2.0;37.0;23.0;34.0;27.0;6.0;-6.0;35.0;-31.0;-37.0;-22.0;-13.0;1.0;-8.0;-2.0;-1.0;-1.0;-1.0;5.0;2.0;21.0;87.0;22.0;-4.0;12.0;7.0;-6.0;-6.0;-1.0;-1.0;-1.0;20.0;11.0;6.0;-1.0;2.0;5.0;29.0;11.0;10.0;4.0;40.0;20.0;-17.0;-4.0;-5.0;-3.0;-6.0;19.0;3.0;-2.0;-2.0;-10.0;-7.0;-3.0;-6.0;-2.0;-3.0;-5.0;1;12:00:00;1;SWA;CRY
EVE X TOT 2015-05-24;521 (83%);304 (74%);20;15;60%;40%;9;2;5;3;0;1;58;48;0;0;1;2;;;4;2;624;409;;;9;8;4;6;3;1;7;1;16;9;2;1;1;2015-05-24;1.0;-30.0;-21.0;-35.0;-23.0;-9.0;-12.0;-10.0;-46.0;43.0;-23.0;1.0;-10.0;-38.0;-62.0;-12.0;-8.0;-82.0;-54.0;-31.0;-23.0;-16.0;-5.0;-6.0;-6.0;-6.0;-3.0;30.0;20.0;7.0;8.0;4.0;-6.0;-2.0;-3.0;-7.0;5.0;27.0;12.0;-4.0;30.0;-5.0;-12.0;32.0;10.0;-30.0;37.0;23.0;50.0;28.0;18.0;5.0;-4.0;-16.0;-13.0;-11.0;-17.0;-9.0;-3.0;-9.0;-13.0;-35.0;-83.0;-62.0;-29.0;-25.0;-14.0;-13.0;-6.0;-34.0;-23.0;18.0;5.0;1.0;-8.0;33.0;14.0;1.0;-10.0;3.0;-8.0;-7.0;8.0;1.0;-7.0;14.0;-12.0;-9.0;-12.0;-49.0;-13.0;30.0;0;12:00:00;-1;TOT;EVE
HUL X MUN 2015-05-24;424 (81%);241 (72%);16;17;60%;40%;3;5;1;8;;;52;54;0;0;6;1;1;0;0;6;525;336;1;0;3;11;3;5;1;6;4;5;7;16;2;2;0;2015-05-24;1.0;14.0;59.0;38.0;23.0;14.0;9.0;2.0;2.0;7.0;50.0;1.0;55.0;33.0;20.0;12.0;5.0;7.0;5.0;8.0;1.0;1.0;-5.0;-10.0;-4.0;-2.0;1.0;1.0;2.0;7.0;9.0;10.0;6.0;-2.0;3.0;1.0;5.0;3.0;-5.0;1.0;-5.0;1.0;-5.0;-2.0;31.0;-5.0;23.0;15.0;21.0;14.0;13.0;8.0;1.0;11.0;8.0;6.0;-3.0;-29.0;22.0;5.0;4.0;54.0;66.0;34.0;27.0;17.0;8.0;41.0;4.0;4.0;3.0;8.0;86.0;48.0;30.0;29.0;18.0;5.0;19.0;4.0;3.0;2.0;42.0;36.0;22.0;14.0;9.0;3.0;2.0;22.0;-9.0;-25.0;0;12:00:00;0;MUN;HUL
LEI X QPR 2015-05-24;309 (73%);249 (71%);22;30;55%;45%;7;2;6;5;;;52;64;0;0;2;1;;;1;3;422;350;;;5;18;9;13;2;7;13;4;18;22;;;1;2015-05-24;1.0;-6.0;-35.0;-17.0;-11.0;-7.0;-40.0;74.0;29.0;16.0;13.0;29.0;9.0;-7.0;-4.0;4.0;-32.0;-19.0;-13.0;-30.0;-20.0;-17.0;16.0;28.0;8.0;4.0;40.0;21.0;-53.0;-26.0;-18.0;-21.0;-29.0;8.0;-11.0;-8.0;-7.0;68.0;38.0;22.0;30.0;-41.0;-24.0;-20.0;-7.0;34.0;20.0;86.0;50.0;100.0;61.0;40.0;-20.0;-80.0;-48.0;31.0;24.0;30.0;-30.0;1.0;6.0;31.0;-30.0;-5.0;21.0;29.0;65.0;11.0;61.0;66.0;33.0;18.0;7.0;3.0;-49.0;-29.0;-17.0;-9.0;5.0;-5.0;1.0;-20.0;-11.0;31.0;21.0;89.0;57.0;31.0;18.0;2.0;12.0;;5;12:00:00;1;QPR;LEI
MCI X SOU 2015-05-24;306 (78%);387 (81%);10;18;46%;54%;3;2;4;8;;;60;53;0;0;5;4;;;7;0;393;475;;;8;10;6;7;4;6;5;5;13;15;1;1;0;2015-05-24;-6.0;10.0;7.0;4.0;8.0;4.0;3.0;-4.0;2.0;2.0;7.0;-39.0;5.0;-59.0;37.0;3.0;100.0;78.0;52.0;25.0;16.0;27.0;-29.0;37.0;98.0;60.0;77.0;40.0;53.0;22.0;9.0;24.0;46.0;-14.0;21.0;9.0;7.0;4.0;6.0;7.0;-35.0;-27.0;-10.0;-7.0;-1.0;8.0;4.0;1.0;4.0;-2.0;-6.0;-9.0;-6.0;40.0;19.0;6.0;3.0;-6.0;-1.0;20.0;-11.0;-21.0;-13.0;-13.0;-50.0;-35.0;-25.0;12.0;30.0;7.0;-41.0;-59.0;-40.0;-26.0;30.0;10.0;8.0;10.0;8.0;-11.0;-5.0;5.0;30.0;-31.0;-7.0;-4.0;20.0;100.0;62.0;25.0;-21.0;20.0;2;12:00:00;1;SOU;MCI
NEW X WES 2015-05-24;394 (81%);241 (75%);24;19;60%;40%;1;4;3;2;0;1;55;68;0;0;2;1;;;3;1;486;323;;;2;10;2;9;1;4;2;7;4;17;1;2;0;2015-05-24;-1.0;-3.0;-1.0;38.0;19.0;5.0;-7.0;-3.0;-6.0;-5.0;29.0;-5.0;19.0;10.0;-7.0;-6.0;-47.0;-35.0;-27.0;-17.0;-16.0;-8.0;-5.0;-5.0;-4.0;39.0;20.0;6.0;7.0;33.0;15.0;8.0;9.0;-5.0;34.0;17.0;9.0;4.0;1.0;-2.0;30.0;-2.0;1.0;51.0;31.0;-21.0;19.0;42.0;26.0;17.0;86.0;47.0;26.0;11.0;-10.0;-6.0;28.0;-2.0;1.0;1.0;7.0;5.0;3.0;3.0;-10.0;-3.0;2.0;6.0;2.0;-29.0;-14.0;-12.0;-5.0;32.0;20.0;63.0;39.0;-24.0;-8.0;12.0;6.0;-4.0;2.0;-19.0;82.0;43.0;27.0;-24.0;-1.0;-4.0;-5.0;5.0;2;12:00:00;1;WES;NEW
STO X LIV 2015-05-24;421 (82%);348 (81%);17;14;55%;45%;4;3;9;3;1;2;60;46;0;0;3;3;;;1;1;514;431;;;6;5;5;3;4;9;7;10;13;15;2;4;1;2015-05-24;2.0;54.0;27.0;15.0;-52.0;-16.0;-15.0;-15.0;-15.0;-6.0;-6.0;-4.0;4.0;-7.0;-5.0;74.0;34.0;18.0;9.0;79.0;39.0;-27.0;2.0;-3.0;34.0;11.0;-7.0;-42.0;-25.0;-29.0;-19.0;-9.0;-1.0;-2.0;2.0;2.0;78.0;47.0;28.0;11.0;40.0;-1.0;-5.0;-68.0;-36.0;29.0;-26.0;-16.0;-9.0;-1.0;-1.0;-1.0;-26.0;-16.0;-5.0;-3.0;14.0;-2.0;-1.0;-5.0;-4.0;-42.0;-30.0;-78.0;-32.0;-24.0;-42.0;2.0;-25.0;-85.0;-92.0;-55.0;-31.0;-18.0;-56.0;-35.0;-31.0;-19.0;-7.0;-12.0;19.0;8.0;9.0;-7.0;39.0;20.0;85.0;54.0;31.0;-4.0;14.0;-35.0;6;12:00:00;1;LIV;STO
